customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2643-IWGST,Male,0,Yes,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,32.34,2013.87,0
8506-WKULC,Female,0,No,No,68,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),118.75,8060.93,1
8094-QGVJW,Female,0,No,No,11,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),100.06,1105.99,1
1576-OBMDR,Female,0,Yes,No,22,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,46.87,1038.54,1
4070-XWABB,Male,0,No,No,21,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),46.91,1000.71,1
2166-DCQNB,Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),22.1,100.48,0
3825-PKYMA,Female,1,Yes,No,72,No,No phone service,DSL,No,No,No,No,No,No,One year,No,Electronic check,61.9,4432.1,1
7743-YWBBU,Female,1,No,No,66,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,70.21,4648.3,1
1415-EDLZZ,Female,0,No,No,9,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,One year,No,Electronic check,68.43,592.77,1
4885-CTJTR,Female,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.25,136.87,1
9243-UUUJA,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.46,1119.3,1
4465-FKBGT,Female,0,Yes,No,72,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,73.08,5273.24,1
1759-UUURU,Female,0,No,No,12,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,95.08,1171.55,1
2385-SDMRT,Female,0,No,No,65,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,84.29,5473.77,1
4574-YXMSQ,Male,0,Yes,No,61,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Electronic check,76.44,4657.62,1
2201-AFSTA,Female,0,No,No,38,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,79.83,3010.33,1
8819-HQUVO,Female,0,Yes,No,5,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,53.5,242.76,1
9298-RGPGQ,Female,1,No,Yes,57,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),80.76,4607.65,1
3943-DLMDU,Male,0,No,No,7,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),63.2,442.77,1
9528-AAGIA,Female,0,No,Yes,13,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,105.0,1385.64,1
9428-PRVOF,Male,0,Yes,No,60,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),47.83,2891.96,0
6165-BIDMW,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),79.72,974.08,0
7485-VKMKS,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Mailed check,94.52,656.29,1
6402-HGYPC,Male,0,No,Yes,61,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.57,5526.03,1
6485-QROQK,Male,0,No,No,36,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,104.87,3750.28,1
1782-EPOJN,Female,0,No,No,58,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),72.72,4188.4,1
9467-BPSHO,Female,0,No,No,4,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,64.75,252.95,1
1328-JETPU,Male,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,78.78,1491.71,1
3868-ZVLWM,Male,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.05,3100.39,1
5823-IQTLY,Male,0,No,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.06,1225.76,1
4038-EXLAT,Male,0,Yes,Yes,5,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),68.18,361.93,1
5838-PLIMQ,Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),81.93,1200.46,1
8823-QDNSG,Female,0,Yes,No,27,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),93.69,2531.19,1
8595-CALOK,Male,0,No,No,12,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,68.07,809.76,0
2111-JBZDQ,Male,0,No,No,10,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),71.71,745.15,1
3142-QHWNX,Male,1,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.36,343.77,1
7912-DFSXD,Female,0,No,Yes,43,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),63.28,2716.34,0
4011-CTFWG,Female,0,No,Yes,3,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,92.71,269.1,1
9354-NLPTH,Female,0,Yes,No,7,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),115.19,798.39,1
2281-WBMHY,Male,0,No,Yes,37,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),80.94,3011.76,1
5832-UTPDP,Male,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.77,260.59,1
6824-TFDPW,Female,0,No,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.48,1091.94,0
8381-WUMEO,Female,1,Yes,Yes,1,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),68.9,68.9,0
7934-ZHGNG,Female,0,No,No,63,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.21,4744.98,1
3455-VGWZR,Male,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),86.74,812.83,0
5386-JRNJG,Male,0,No,Yes,71,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),59.86,4260.06,1
5329-ZGGEA,Female,1,No,No,61,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,50.17,3064.85,1
1970-NRMYH,Female,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.45,433.65,1
5344-HJQFO,Male,1,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.25,732.82,0
4614-OYPHS,Female,1,Yes,Yes,61,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),90.74,5517.58,1
8426-TOCFY,Male,1,No,No,6,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,54.16,312.95,1
6204-HPOMZ,Female,1,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),22.42,710.98,0
7138-TORMX,Male,1,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.76,101.41,1
3777-HNKFX,Male,0,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,73.09,319.94,0
3620-YAYBM,Female,1,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,86.24,353.16,1
3072-AXXDX,Male,0,No,Yes,38,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,87.34,3318.15,1
2282-WBUZT,Male,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.25,55.03,1
3036-PCQEZ,Female,0,Yes,No,2,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.24,119.98,1
6283-HLYWL,Male,1,Yes,Yes,2,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,55.67,118.12,1
5246-AAOQB,Female,0,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.25,1076.69,1
2437-QTZIL,Male,0,No,Yes,51,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.78,3663.27,0
4869-DMDGN,Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,70.85,0
9660-IWAAT,Male,0,No,Yes,5,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Electronic check,117.03,597.96,1
1111-DAVJB,Male,0,No,Yes,47,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,90.51,4263.88,1
6357-UXOCY,Female,0,No,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),80.05,5502.68,1
3692-WIQUM,Female,1,Yes,Yes,55,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Electronic check,72.83,3973.7,0
6737-CDDKG,Male,0,No,Yes,2,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,86.61,161.3,1
6722-ZKXKJ,Female,0,No,No,61,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),102.57,6282.23,0
5747-EMLJG,Female,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),81.08,670.25,1
4723-SSSLT,Male,1,Yes,No,8,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),63.11,513.52,1
8893-VOEXN,Female,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,143.5,1
9812-LUKEP,Male,0,Yes,No,11,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,No,Mailed check,60.72,689.92,1
4060-ZRLEP,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),86.07,4913.13,1
7921-LWBFW,Male,0,Yes,No,29,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),57.85,1661.66,0
9643-UYDMJ,Female,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.25,92.41,0
3753-QNXOH,Male,0,Yes,Yes,5,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,66.8,323.03,1
2298-WXRCY,Male,1,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.02,689.68,0
6282-QXXGM,Female,0,No,Yes,4,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,63.21,231.99,1
1740-PEDZJ,Female,0,Yes,No,59,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,47.85,2820.01,0
4777-MJNZV,Male,1,No,Yes,11,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),105.45,1145.56,1
8846-LAUTT,Female,0,Yes,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.09,148.12,1
3960-GIHMN,Male,0,No,No,6,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,94.99,580.28,1
7804-LHUVR,Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.25,111.45,0
4956-PKPNC,Female,0,No,No,60,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),52.32,3117.06,0
6306-UBCDV,Female,0,No,Yes,52,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.25,921.15,0
5480-EJTBL,Female,0,Yes,No,14,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),56.89,808.96,1
3483-EEWAD,Male,0,No,Yes,12,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),100.13,1193.83,1
9000-UXLLP,Female,1,No,No,20,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),60.21,1203.57,1
5295-XQUJQ,Female,0,No,Yes,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,864.61,0
5373-QRBYD,Female,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.25,207.48,0
4852-SKQLB,Male,0,No,No,46,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),102.64,4741.05,1
3189-FIETU,Female,0,No,Yes,65,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),86.79,5636.06,0
1435-IWHTH,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.98,1394.53,0
3579-VUWFC,Male,0,No,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.25,797.91,1
9101-EIGDG,Female,0,No,Yes,66,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,97.24,6409.93,0
1308-EKOBM,Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.54,1475.66,0
9828-VPGHF,Female,1,Yes,No,60,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,87.81,5282.07,1
5043-XGRVY,Male,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,104.24,121.71,1
5125-VTGCE,Male,1,No,Yes,24,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,96.72,2319.96,1
1087-AOZCH,Male,0,Yes,No,61,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,109.32,6682.34,1
4316-YIOJB,Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,82.02,4889.0,1
3894-TESMK,Female,0,No,No,9,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,93.21,832.41,1
1401-AVOZR,Male,1,Yes,No,17,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),98.78,1710.09,1
5695-PIAKI,Female,0,Yes,Yes,70,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.41,1425.88,0
2020-WKMZB,Female,0,Yes,No,36,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),85.1,3063.81,1
1881-NFHRP,Female,0,Yes,No,5,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),88.27,441.62,0
6371-ULKFC,Male,0,Yes,Yes,42,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),62.7,2644.51,1
7507-NBKVC,Female,1,No,No,59,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),91.67,5399.44,0
6730-RAXAL,Male,0,No,No,9,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),62.75,566.79,0
7659-OEFPL,Male,0,Yes,Yes,65,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),95.55,6212.89,1
3276-LCWBG,Female,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),93.9,398.33,1
6159-BUGKK,Female,0,No,No,54,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),93.05,5034.08,0
9919-NCNKD,Male,1,Yes,No,22,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,87.4,1916.86,1
7203-QPCYJ,Female,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,107.71,125.27,1
1257-UOHRC,Female,0,No,No,9,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),85.31,730.91,1
5474-GJTIN,Male,0,No,Yes,4,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),98.98,402.74,1
1288-WNKAD,Female,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),114.01,2509.73,1
5513-ZFVZV,Male,0,No,No,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,217.87,0
7805-ECBCI,Male,0,No,Yes,1,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),100.14,130.41,1
7757-SSQRK,Female,0,No,No,64,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,75.76,4849.64,0
9577-LCRXF,Male,1,Yes,No,8,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,70.82,554.37,1
9661-GAFRM,Female,0,Yes,No,5,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),109.63,554.08,1
8637-VSGSI,Female,0,Yes,No,9,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,80.57,735.04,1
5834-CWLTX,Female,0,No,No,40,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),45.06,1806.24,1
3375-RHIMH,Male,0,Yes,No,32,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),114.93,3669.89,1
3254-VJQGQ,Male,1,No,No,10,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,88.03,866.4,1
1737-WRXBC,Male,0,No,No,67,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),57.11,3836.06,0
3473-SAUUJ,Female,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),112.12,7981.01,0
8148-UNMIF,Female,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.34,413.17,0
6272-FSUJW,Male,0,No,Yes,2,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,72.02,151.87,1
2817-CRUSE,Female,0,No,Yes,19,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,51.64,980.67,1
5355-YKJQD,Female,0,No,No,29,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,100.8,2906.9,1
1543-ZURRA,Male,0,No,Yes,28,No,No phone service,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,66.89,1843.99,1
3165-NHBSO,Male,0,Yes,Yes,36,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),78.54,2828.53,0
7455-BDASU,Male,0,No,No,63,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),40.24,2549.49,0
5122-JATVO,Female,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,103.21,1
6841-DGGVY,Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,98.15,799.28,1
7762-RMJXH,Female,0,Yes,No,39,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,64.31,2515.02,1
9764-JNNTV,Male,0,Yes,No,30,No,No phone service,DSL,No,No,Yes,Yes,No,No,One year,Yes,Mailed check,69.4,2108.15,0
2839-KFUAS,Male,0,Yes,No,26,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.37,1811.48,1
6231-GXRCT,Male,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,93.47,93.47,1
4405-KESUX,Male,0,No,No,23,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,56.35,1325.02,1
3131-XBVDY,Female,0,Yes,Yes,67,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,101.48,6803.72,1
3458-JBHAF,Male,1,No,Yes,8,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),72.85,575.87,1
9220-KJMAB,Female,0,Yes,No,33,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),63.36,2123.04,0
3945-CIEJJ,Male,0,No,No,12,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),92.48,1111.47,1
1800-LRZUU,Female,0,No,Yes,56,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,94.07,5260.17,1
9325-ACEYZ,Male,0,No,No,2,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),90.25,183.7,1
2405-QHQIF,Female,0,Yes,Yes,49,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),98.05,4801.06,1
1056-QHUGG,Female,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,23.66,235.02,0
1069-OGVHI,Male,1,Yes,No,1,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,82.12,82.12,1
9450-OBGOR,Female,1,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.25,173.23,1
1711-VRJVR,Male,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.9,1665.16,0
6705-AGCNL,Female,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.25,1142.73,0
1265-NDMPP,Male,0,No,Yes,58,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,66.45,3854.11,0
2586-VETYF,Male,1,No,No,30,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.82,2807.52,1
5333-FRFGX,Male,0,Yes,No,69,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,80.8,5573.62,1
4257-XPIZM,Female,0,Yes,No,69,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.7,5467.03,1
9123-LSZWW,Female,0,No,No,7,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),88.18,624.78,1
9821-AHDUV,Male,0,Yes,No,70,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,56.56,3960.35,1
2962-SUZEQ,Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,30.65,97.08,0
6059-CSAWA,Male,0,No,No,12,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,104.18,1282.09,1
9403-WTIWE,Female,0,No,Yes,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.24,1086.04,0
7167-GYZFQ,Male,0,No,No,2,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,108.9,224.01,1
5254-VQMLD,Male,0,No,No,46,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),78.37,3581.66,1
9109-HEEMZ,Male,0,No,No,7,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.87,311.51,1
3057-KHHAM,Male,0,Yes,Yes,10,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,96.92,949.78,1
6309-EUHQW,Male,0,Yes,No,64,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,64.73,4128.1,0
3034-WMIBS,Female,1,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26.88,1454.58,0
4082-TQGZC,Female,0,No,No,3,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),75.59,232.8,1
3022-SSXIJ,Female,0,No,Yes,4,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),64.51,231.32,0
5060-NRZOZ,Female,0,No,No,10,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,89.29,884.14,1
7826-AYFOY,Male,0,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.37,1078.47,1
8090-FRAXC,Male,1,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,90.07,1719.7,0
